	class_true	final_prob
0	1	0.55845886
1	1	0.6597753
2	1	0.68132514
3	1	0.6024912
4	1	0.6370792
5	1	0.6010759
6	1	0.68657786
7	1	0.664356
8	1	0.66136384
9	1	0.6417249
10	1	0.64043325
11	1	0.6651282
12	1	0.5354425
13	1	0.6397306
14	1	0.6536315
15	1	0.6486654
16	1	0.6388262
17	1	0.631465
18	1	0.6550006
19	1	0.67563933
20	1	0.5446691
21	1	0.53960466
22	1	0.61431056
23	1	0.6213809
24	1	0.6299948
25	1	0.66616833
26	1	0.54359293
27	1	0.67602557
28	1	0.58698165
29	1	0.61260396
30	1	0.68323773
31	1	0.6629937
32	1	0.6118753
33	1	0.6651122
34	1	0.60206556
35	1	0.6285291
36	1	0.58728254
37	1	0.6518683
38	1	0.6593973
39	1	0.59105027
40	1	0.59626
41	1	0.633613
42	1	0.66000926
43	1	0.56452996
44	1	0.68587685
45	1	0.6463653
46	1	0.6918536
47	1	0.6529293
48	1	0.63500273
49	1	0.61161816
50	1	0.61606055
51	1	0.577617
52	1	0.67661476
53	1	0.6628089
54	1	0.5817659
55	1	0.57249117
56	1	0.66196376
57	1	0.69289625
58	1	0.6649191
59	1	0.6467374
60	1	0.660851
61	1	0.62082344
62	1	0.7029805
63	1	0.59375733
64	1	0.63982654
65	1	0.66687185
66	1	0.55458546
67	1	0.63623923
68	1	0.6319486
69	1	0.675777
70	1	0.6350816
71	1	0.69090503
72	1	0.6698876
73	1	0.63230085
74	1	0.6945441
75	1	0.68385047
76	1	0.62923425
77	1	0.60393167
78	1	0.68007547
79	1	0.6801731
80	1	0.6079062
81	1	0.6730531
82	1	0.627842
83	1	0.6842288
84	1	0.67261803
85	1	0.6421234
86	1	0.6632293
87	1	0.6913943
88	1	0.6266684
89	1	0.6177169
90	1	0.6466548
91	1	0.6753853
92	1	0.6048267
93	1	0.6079213
94	1	0.6222133
95	1	0.56378573
96	1	0.6618122
97	1	0.6633515
98	1	0.66542864
99	1	0.5519918
100	1	0.6966934
101	1	0.7065993
102	0	0.36662298
103	0	0.47850218
104	0	0.31864572
105	0	0.29912758
106	0	0.286556
107	0	0.3172587
108	0	0.29834622
109	0	0.37065652
110	0	0.32064736
111	0	0.33289278
112	0	0.29515615
113	0	0.26297066
114	0	0.30833295
115	0	0.28668422
116	0	0.36390978
117	0	0.30185527
118	0	0.39075118
119	0	0.32313287
120	0	0.33327672
121	0	0.29308155
122	0	0.28687721
123	0	0.29682848
124	0	0.25482807
125	0	0.2935012
126	0	0.271841
127	0	0.2842753
128	0	0.30498952
129	0	0.28456998
130	0	0.24198969
131	0	0.35996127
132	0	0.31519535
133	0	0.29179725
134	0	0.29214782
135	0	0.3263222
136	0	0.27916557
137	0	0.3070995
138	0	0.26180568
139	0	0.3212801
140	0	0.31550577
141	0	0.293304
142	0	0.23533335
143	0	0.26084405
144	0	0.29291856
145	0	0.31673574
146	0	0.24972765
147	0	0.3031039
148	0	0.34429613
149	0	0.2722925
150	0	0.27934226
151	0	0.30065882
152	0	0.27884686
153	0	0.28250068
154	0	0.3370578
155	0	0.31322056
156	0	0.29752108
157	0	0.3014737
158	0	0.3250367
159	0	0.27061108
160	0	0.3392939
161	0	0.29983595
162	0	0.27807075
163	0	0.24931836
164	0	0.27283505
165	0	0.252201
166	0	0.29489928
167	0	0.24545345
168	0	0.33792657
169	0	0.24776351
170	0	0.2756171
171	0	0.24396455
172	0	0.2881154
173	0	0.32831165
174	0	0.2981789
175	0	0.31174263
176	1	0.6062795
177	1	0.5332062
178	1	0.68035364
179	1	0.65926635
180	1	0.651918
181	1	0.63468033
182	1	0.69067526
183	1	0.67350304
184	1	0.68311614
185	1	0.60675144
186	1	0.6536798
187	1	0.6544962
188	1	0.66498744
189	1	0.6562895
190	1	0.6539597
191	1	0.68000364
192	1	0.6416802
193	1	0.65260077
194	1	0.6549993
195	1	0.664419
196	1	0.6247462
197	1	0.6585171
198	1	0.55700976
199	1	0.58025026
200	1	0.6824973
201	1	0.6534518
202	1	0.57268846
203	1	0.66931057
204	1	0.6556245
205	1	0.65321034
206	1	0.5413204
207	1	0.6712228
208	1	0.66460115
209	1	0.69329
210	1	0.5660054
211	1	0.6654735
212	1	0.57497734
213	1	0.650023
214	1	0.6276283
215	1	0.6433828
216	1	0.47002688
217	1	0.625894
218	1	0.5997082
219	1	0.66078454
220	1	0.61464375
221	1	0.62980366
222	1	0.6881498
223	1	0.6756133
224	1	0.6494085
225	1	0.6289082
226	1	0.62700546
227	1	0.6579023
228	1	0.6775008
229	1	0.65693766
230	1	0.66116357
231	1	0.6477788
232	1	0.5662572
233	1	0.5773688
234	1	0.6282151
